,actor_account_id,dt_cnt,con_cnt,log_cnt,char_cnt,exp_amt,exp_mastery_amt,exhaust_cnt,exhaust_pvp_cnt,die_cnt,die_pvp_cnt,quest_cnt,party_join_cnt,party_kick_cnt,guild_join_cnt,guild_withdraw_cnt,teleport_cnt,pve_cnt,pvp_cnt,arena_cnt,lev_max,actor_job,dt_cnt_last,con_cnt_last,log_cnt_last,char_cnt_last,exp_amt_last,exp_mastery_amt_last,exhaust_cnt_last,exhaust_pvp_cnt_last,die_cnt_last,die_pvp_cnt_last,quest_cnt_last,party_join_cnt_last,party_kick_cnt_last,guild_join_cnt_last,guild_withdraw_cnt_last,teleport_cnt_last,pve_cnt_last,pvp_cnt_last,arena_cnt_last,dt_cnt_slope,con_cnt_slope,log_cnt_slope,char_cnt_slope,exp_amt_slope,exp_mastery_amt_slope,exhaust_cnt_slope,exhaust_pvp_cnt_slope,die_cnt_slope,die_pvp_cnt_slope,quest_cnt_slope,party_join_cnt_slope,party_kick_cnt_slope,guild_join_cnt_slope,guild_withdraw_cnt_slope,teleport_cnt_slope,pve_cnt_slope,pvp_cnt_slope,arena_cnt_slope,dt_cnt_cv,con_cnt_cv,log_cnt_cv,char_cnt_cv,exp_amt_cv,exp_mastery_amt_cv,exhaust_cnt_cv,exhaust_pvp_cnt_cv,die_cnt_cv,die_pvp_cnt_cv,quest_cnt_cv,party_join_cnt_cv,party_kick_cnt_cv,guild_join_cnt_cv,guild_withdraw_cnt_cv,teleport_cnt_cv,pve_cnt_cv,pvp_cnt_cv,arena_cnt_cv,churn_yn
11,008E8AF0,2,2,378,1,0,0,0,0,2,1,0,0,0,0,0,0,60,1,0,45,5,2,2,378,1,0,0,0,0,2,1,0,0,0,0,0,0,60,1,0,0.4,0.4,75.6,0.2,0,0,0,0,0.4,0.2,0,0,0,0,0,0,12,0.2,0,2.236067977,2.236067977,2.236067977,2.236067977,0,0,0,0,2.236067977,2.236067977,0,0,0,0,0,0,2.236067977,2.236067977,0,0
12,00CBE7F7,33,738,115754,1,0,19581208,216,14,347,133,1568,546,0,2,2,196,13360,176,0,50,5,6,52,8203,1,0,1943597,6,0,41,29,107,46,0,0,0,19,791,30,0,-0.3,-18.6,-2957.6,9.93E-17,0,-418359.4,-6.4,-2,-8.8,1.4,-36,-12.4,0,-0.1,-0.1,-3.9,-373.3,-2.9,0,0.082988266,0.330352021,0.35502577,0,0,0.339247866,0.694504828,2.236067977,0.315702034,0.120716368,0.352400895,0.30401241,0,1.369306394,1.369306394,0.280305558,0.380101563,0.166507152,0,1
13,00D81497,1,2,25,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,50,7,1,2,25,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0.4,5,0.4,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,2.236067977,2.236067977,2.236067977,2.236067977,0,0,0,0,0,0,2.236067977,0,0,0,0,0,0,0,0,0
14,00D81DCB,35,403,54253,9,885613,33287290,160,1,220,40,907,239,0,0,0,186,6452,34,0,50,1,7,42,7785,8,0,3131701,33,0,46,1,118,38,0,0,0,21,876,1,0,0,-16,-1606.6,-0.2,0,-1700426.5,-3,0,-4.6,-4.4,-22,-4.1,0,0,0,-9.5,-238.9,-2.6,0,0,0.399698938,0.404589072,0.050819727,0,0.56260832,0.369821962,0,0.507535892,1.915369169,0.30776515,0.209518029,0,0,0,1.052445226,0.546483142,1.747464797,0,0
15,00DDAEEA,29,529,43657,6,0,19634234,134,9,264,182,804,264,0,0,0,128,3054,176,105,50,1,7,152,13047,6,0,3565644,39,5,93,78,245,80,0,0,0,42,846,77,32,0.5,11.2,900,3.97E-16,0,-561965.7,2.8,1.4,11.7,10.8,20.5,6.3,0,0,0,3.7,47.1,13,1.2,0.144251729,0.395876214,0.369615541,0,0,0.484853453,0.337844517,1.383322178,0.547444933,0.738094174,0.367068039,0.381796763,0,0,0,0.553911709,0.34876337,0.740059056,0.586100422,0
16,00E1A8EB,15,176,49003,8,12780,11674065,171,18,75,1,597,77,0,0,0,114,6300,19,0,50,6,2,3,1113,2,0,120531,6,0,0,0,18,2,0,0,0,2,253,0,0,-1.1,-16.8,-4662,-1.3,-1278,-816522.5,-16.9,-1.8,-8.5,0,-54.2,-7.6,0,0,0,-8.8,-625.6,-1.8,0,0.666666667,1.163249506,1.348648904,0.579721327,2.236067977,1.039673592,1.116171614,1.742753592,1.78395871,0,1.199378316,1.014197527,0,0,0,1.186725571,1.399727912,1.742753592,0,0
17,00EE61F2,28,414,59561,7,844666,8284138,406,23,501,238,824,221,0,1,0,120,4426,194,29,50,5,6,64,7903,3,139307,2186727,41,1,73,44,75,31,0,0,0,14,509,17,0,0.2,-8.3,-1552.9,-0.1,-11806,82692.89999,-9.9,-1.7,-12.9,-5.2,-37.3,-5.5,0,2.63E-12,0,-4.4,-116.6,-9.1,-1.9,0.159719141,0.256892781,0.381632716,0.210662522,0.799396704,0.307651376,0.312032941,1.211919964,0.225245235,0.21390366,0.596187501,0.229277944,0,2.236067977,0,0.522923246,0.564601904,0.491439056,1.026584257,1
18,00F7F5CF,33,254,67377,3,0,11569346,182,14,173,32,1180,225,0,2,2,102,8179,47,29,50,2,7,37,18681,1,0,2393875,33,0,33,4,247,34,0,0,0,22,3191,3,3,0.2,-4.8,3099.6,-0.2,0,101801.4,1.8,-0.1,1.7,-1.2,42.5,-3.1,0,5.26E-12,5.26E-12,5,766.7,-1.6,-1.4,0.082988266,0.383308967,0.540054556,0.342326598,0,0.251726726,0.437095606,1.039173545,0.525877992,0.987449588,0.55512139,0.300630205,0,2.236067977,2.236067977,0.529411765,0.91734738,0.702676112,0.778829868,0
19,00FB45EC,21,53,3305,9,15106,1476677,11,0,8,0,54,11,0,0,0,0,134,0,0,50,1,5,5,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-2.3,-228.9,-1.5,-1510.6,8608.3,-0.4,0,-0.2,0,-3,-0.4,0,0,0,0,-6.399999999,0,0,0.391230398,0.414450616,0.64679026,0.849836586,2.236067977,1.116952785,1.131809054,0,1.045825033,0,0.974204329,0.813115628,0,0,0,0,1.092461868,0,0,0
20,010010EB,30,502,83971,2,0,15135824,457,193,394,347,872,391,0,1,1,160,10770,606,7,50,5,4,63,10845,1,0,2397140,67,53,42,35,86,58,0,0,0,23,899,121,0,-0.5,-0.7,3276.9,0.1,0,592481.8,7.700000001,15.6,-5.3,-8.6,34.1,5.9,0,2.63E-12,-0.1,1.6,562.6,23.2,0.4,0.204124145,0.265317349,0.684662842,0.372677996,0,0.591596296,0.750931603,0.853008474,0.268008167,0.285206248,0.852037247,0.34111109,0,2.236067977,2.236067977,0.402885377,1.041686137,0.44332453,2.236067977,0
21,01032B49,10,23,20577,2,1028914,0,7,1,4,0,456,0,0,0,0,72,4784,1,0,43,3,5,12,12314,2,809972,0,1,0,3,0,232,0,0,0,0,48,2795,0,0,1.5,3.5,3289.1,0.6,183888.6,0,0.8,0.1,0.7,0,68.8,0,0,0,0,12,757.9,0.1,0,1.369306394,1.371461765,1.412840569,1.369306394,1.704735774,0,1.862629259,2.236067977,1.629800601,0,1.369657561,0,0,0,0,1.490711985,1.401321836,2.236067977,0,1
22,01180EEB,35,342,97038,7,1262,19126397,351,126,475,169,792,465,0,0,0,166,8916,343,0,50,9,7,81,19205,1,0,3330810,75,18,84,11,181,109,0,0,0,29,1692,21,0,0,8.8,319.2,-1,-126.2,378352.2,5.1,-4.9,-4.7,-14.9,26.9,8.3,0,0,0,1.2,97.1,-26.3,0,0,0.310827318,0.129541093,0.638876565,2.236067977,0.303354994,0.189907144,0.556133958,0.14120625,0.947346249,0.341681574,0.229585612,0,0,0,0.225864941,0.141628079,0.875158481,0,0
23,014267EC,6,43,3768,4,48,1645922,4,0,1,0,45,11,0,0,0,9,394,0,0,50,10,2,17,1379,4,48,101001,2,0,0,0,16,5,0,0,0,0,110,0,0,2.63E-12,1.1,32,0.3,9.6,-146145.3,0.3,0,2.63E-12,0,0.6,0.4,0,0,0,-0.8,-3.199999999,0,0,0.697216689,0.72895014,0.735806332,0.746894397,2.236067977,1.797408448,1.045825033,0,2.236067977,0,0.777777778,0.813115628,0,0,0,1.383322178,1.135286876,0,0,0
24,015820FE,24,107,30575,3,0,7259382,138,5,89,27,543,123,0,0,0,97,3182,15,18,50,3,4,19,10272,1,0,1434397,11,0,9,1,201,42,0,0,0,26,1496,3,3,0.5,0.7,1576.8,-0.4,0,127463.5,2,0,1.9,1.1,36.8,8.4,0,0,0,4.1,234.1,0.9,1.3,0.400737168,0.310102655,0.500285604,0.464811126,0,0.597257852,0.634719358,0,0.578250308,1.159110614,0.573216022,0.569478879,0,0,0,0.452427291,0.816884695,0.756912589,1.050426133,1
25,01679B62,23,243,39774,4,0,12305564,278,16,315,101,552,286,0,0,0,92,1952,299,16,50,2,4,24,6175,2,0,1368606,98,0,51,3,74,39,0,0,0,9,285,3,0,-0.4,-11.8,-998.9,-0.2,0,-190210,16.4,-1.8,-6.3,-12.3,-15.5,-12.7,0,0,0,-5.4,-72.6,-40.8,-1.6,0.247864223,0.532603837,0.453657857,0.203278907,0,0.378026366,0.7180141,1.455726837,0.501057393,1.29176839,0.476442918,0.472015809,0,0,0,0.553102599,0.626594633,1.604192473,2.236067977,0
26,01AAC5B1,32,306,48061,3,0,10202781,200,4,247,73,559,237,0,1,0,66,3641,79,9,50,5,6,59,7709,3,0,1608977,18,0,22,9,125,36,0,0,0,11,976,9,0,-0.2,-6.6,-1735.7,0.2,0,-323269,-17.5,-0.8,-13.2,-1.4,-13.1,-8.9,0,-0.2,0,-1.1,-8.800000002,-1.2,-0.6,0.08558165,0.42045602,0.466359087,0.203278907,0,0.417865898,0.778364576,2.236067977,0.57240623,0.645181963,0.433046714,0.46825904,0,2.236067977,0,0.227449786,0.356574499,0.638876565,2.236067977,0
27,01C03A3E,32,709,186912,8,18930,61013012,207,23,363,91,1541,510,0,2,1,139,28740,178,86,50,5,7,129,19028,4,50,4227580,64,3,78,14,245,90,0,1,0,22,1700,28,15,-7.90E-12,-11.3,-3957.3,0.4,1898,-2504359.7,5.1,0.6,1.2,-5.4,-15.3,-4.9,0,0.2,-0.2,-1.1,-845.4999999,-6.4,-5,0.08558165,0.259316757,0.618150492,0.220173691,2.228692628,0.504187208,0.448936106,0.559016994,0.100251596,0.644722587,0.114245291,0.136905466,0,1.369306394,2.236067977,0.178980315,0.977903338,0.497915733,0.81229066,1
28,01C45DEC,9,20,5615,5,0,2906410,11,0,7,0,88,5,0,0,0,15,966,0,0,50,8,5,13,4349,5,0,1397624,11,0,7,0,56,4,0,0,0,10,621,0,0,1.4,3.3,996.4,1.1,0,430403.4,2.2,0,1.4,0,14.4,0.9,0,0,0,2.5,158.7,0,0,1.383322178,1.468417516,1.678422231,1.806623616,0,1.370974616,2.236067977,0,2.236067977,0,1.451701766,1.732050808,0,0,0,1.490711985,1.45948691,0,0,1
29,020F663F,12,41,13380,2,731550,0,6,0,1,0,289,18,0,1,0,49,2961,0,0,42,3,7,18,6914,1,531846,0,4,0,1,0,125,11,0,0,0,34,1486,0,0,1.9,5.9,2029.4,0.4,126339.6,0,1,0,0.2,0,41.4,2.9,0,0.1,0,8.3,444.7,0,0,1.400644693,1.386172901,1.37058507,1.490711985,1.587193587,0,1.490711985,0,2.236067977,0,1.389931416,1.424542378,0,2.236067977,0,1.531292366,1.369322142,0,0,1
30,021014FD,14,35,19182,4,1789952,1508037,82,0,45,2,368,32,0,1,0,134,3319,2,0,50,9,6,18,9243,2,1040062,1508037,75,0,42,2,160,31,0,1,0,80,1368,2,0,1.5,3.9,2337.5,0.5,256674.2,301607.4,15.3,0,8.6,0.4,40.1,6.3,0,0.2,0,19.1,371.8,0.4,0,0.991031209,1.203735682,1.019981367,1.086533734,1.207186032,2.236067977,2.000427527,0,2.051798368,2.236067977,0.989266668,2.149786508,0,2.236067977,0,1.22323199,0.94427349,2.236067977,0,1
31,0216AD21,33,511,134635,5,1721311,28283810,718,11,226,7,2434,396,0,1,1,278,15897,28,8,50,5,7,71,18763,2,0,2166358,124,0,40,1,230,54,0,0,0,16,1573,7,3,-5.26E-12,-15.5,1211.5,-0.7,0,-270172.8,41.1,-0.3,-0.5,0.3,-13.2,-10.2,0,0,0,-0.3,231.2,1.2,0.6,0.135519271,0.369160617,0.251065004,0.465657315,0,0.268398234,1.115091299,1.17260394,0.520745689,0.707106781,0.320390078,0.328083661,0,0,0,0.400737168,0.588431075,0.660687473,2.236067977,1
32,022E7E7A,1,2,1742,1,0,97981,1,0,1,0,18,0,0,0,0,7,300,0,0,50,1,1,2,1742,1,0,97981,1,0,1,0,18,0,0,0,0,7,300,0,0,0.2,0.4,348.4,0.2,0,19596.2,0.2,0,0.2,0,3.6,0,0,0,0,1.4,60,0,0,2.236067977,2.236067977,2.236067977,2.236067977,0,2.236067977,2.236067977,0,2.236067977,0,2.236067977,0,0,0,0,2.236067977,2.236067977,0,0,1
33,024197F3,28,387,35374,7,12780,19651155,66,24,248,174,407,208,0,1,1,131,2798,169,14,50,3,6,85,7971,4,0,2641191,7,2,50,37,98,63,0,0,0,20,720,22,14,1,18,2344.7,-0.7,-1278,58780.90002,1.1,-0.4,14.2,11.2,28.3,17.1,0,0.1,0.1,5.4,255.9,7.1,2.8,0.465657315,0.575867565,0.686496275,0.250738554,2.236067977,0.460306597,0.554866848,1,0.66586597,0.721444078,0.698554887,0.714580296,0,2.236067977,2.236067977,0.617871964,0.907171183,0.714217765,2.236067977,0
34,0252CFA7,30,547,46555,11,1451748,20341516,154,37,284,229,806,356,0,0,0,172,5428,418,34,50,5,6,87,6482,3,0,3338491,48,37,62,56,111,60,0,0,0,25,580,58,3,-0.4,-6.4,-717.8,-0.5,-145174.8,566913.4,3.4,7.4,2.6,2,-15.6,-2,0,0,0,-3,-83.69999999,-3.3,-1.4,0.166666667,0.223963534,0.286758412,1.075411407,2.236067977,0.470663414,0.596262637,2.236067977,0.241278943,0.29515493,0.309789263,0.129418793,0,0,0,0.732646415,0.47025081,0.131851172,0.401609664,0
35,026EF040,30,165,27708,2,0,5262456,234,54,152,22,387,102,0,0,0,92,3882,52,1,50,3,7,31,6326,1,0,983275,68,7,44,2,89,24,0,0,0,14,772,4,0,0.4,2.5,758.4,7.90E-12,0,233210.8,12.9,1.2,8.8,4.47E-11,12,1.7,0,0,0,2.5,136.2,-0.1,-0.1,0.204124145,0.179543698,0.305672056,0.342326598,0,0.590179451,0.559438232,1.035397803,0.59464275,1.359843209,0.324173962,0.392806409,0,0,0,0.628898702,0.449874013,1.40852028,2.236067977,1
36,0270A04D,33,276,55622,1,0,11238459,76,0,117,33,753,245,0,0,0,110,4445,28,18,50,3,7,57,15070,1,0,2719448,22,0,29,10,166,54,0,0,0,32,1342,4,3,0.1,1.3,1254.5,9.93E-17,0,157658.6,2.3,0,3.8,2.1,8.7,2.4,0,0,0,2.3,141.4,0.8,1.99E-16,0.082988266,0.193180155,0.381444592,0,0,0.330002675,0.58213082,0,0.454339528,0.65123509,0.342380279,0.244202332,0,0,0,0.442526152,0.467779204,0.6,0,0
37,027CED6D,24,52,28998,6,0,7790329,54,0,11,2,649,4,0,0,1,97,4537,5,3,50,6,5,10,9737,2,0,2454781,13,0,2,0,256,1,0,0,0,36,1788,0,0,0.6,-0.8,1470,-0.4,0,381657.2,-0.5,0,-0.8,-0.4,47.9,-0.2,0,0,2.63E-12,6.4,340.3,-1,-0.6,0.271633434,0.480749198,0.59344476,0.631906287,0,0.534841311,0.568088522,0,1.629800601,2.236067977,0.739130949,1.490711985,0,0,2.236067977,0.677088574,0.813368019,2.236067977,2.236067977,0
38,02A0AA0B,28,185,64752,8,4127760,16974529,634,44,353,24,1178,117,0,2,0,389,9433,29,1,50,8,6,57,14179,5,2800,7441420,262,4,168,4,221,55,0,0,0,36,967,8,1,-0.5,2.9,-7.100000035,0.1,38176.3,469964.1999,5.299999998,-6.3,10.8,-2.6,-2.8,3.6,0,-0.1,0,-8,-98.29999999,-1.1,0.2,0.27081698,0.465505641,0.446183316,0.124482399,1.133644671,1.017690309,1.002487219,1.778955463,1.046754829,1.752872602,0.486856688,1.115443171,0,2.236067977,0,0.540677723,0.416682439,1.154324598,2.236067977,1
39,02A4ABE4,24,337,41196,6,50176,9204949,338,3,318,15,561,217,0,1,1,75,3852,18,0,50,1,3,43,7185,4,13,1125354,39,1,33,1,114,25,0,0,0,9,799,2,0,-1,-16,-1126.7,-0.1,-6435.7,-592712,4.6,0.1,-5.8,-1.6,-17.5,-10.5,0,-0.1,-0.2,-3.9,-158.4,-1.5,0,0.342326598,0.577615502,0.432081824,0.527046277,1.568155427,0.806457897,0.772740409,1.369306394,0.419130335,1.204036603,0.659874579,0.553263537,0,2.236067977,2.236067977,0.674426309,0.668734952,1,0,0
40,02EBA555,27,233,23315,3,0,6747828,160,21,183,82,294,150,0,2,1,23,1703,71,57,50,8,6,39,6418,3,0,1006065,32,6,23,6,30,21,0,2,1,7,890,7,8,-7.90E-12,2.2,994.9,0.4,0,353426,2.2,4.21E-11,1,0.6,4.5,0.3,0,0.4,0.2,1.8,216.3,-1,-1.3,0.101430103,0.18638805,0.389085743,0.638876565,0,0.881701268,0.42523809,1.029607062,0.439278223,0.569034385,0.542508408,0.232124344,0,2.236067977,2.236067977,1.104210878,1.134049852,0.522243933,0.341421416,1
41,02FAB1EF,22,287,42877,5,0,12048577,223,5,146,2,671,178,0,0,2,85,4121,7,0,50,7,7,105,17014,4,0,2295238,138,3,71,0,229,61,0,0,0,23,1578,3,0,0.9,11.8,1913,-0.2,0,-23000.00001,26.2,0.4,12.8,0.1,23.9,5.3,0,0,0.2,-1,143,0.5,0,0.547345208,0.615473736,0.656124562,0.106479427,0,0.540409234,1.314510471,1.224744871,0.989573286,1.369306394,0.510591448,0.481453625,0,0,2.236067977,0.59055122,0.65890674,0.814411018,0,0
42,030114EC,27,217,62414,16,0,21456874,133,16,228,83,869,116,0,0,0,281,7698,99,15,50,1,7,51,13733,1,0,4115591,39,15,53,15,186,25,0,0,0,57,1962,28,3,-0.2,-1.55E-10,-238.6,-0.5,0,-204891.9,6.3,3,1.8,-1.9,-0.7,-0.3,0,0,0,-2.1,4.599999999,0.4,1.99E-16,0.336405595,0.353440057,0.315918769,0.5,0,0.311458673,0.531227085,2.236067977,0.383393715,0.665672437,0.213950747,0.36735197,0,0,0,0.277820529,0.409523576,0.678036416,0,0
43,0302FEDF,19,133,18537,2,0,4562543,74,1,165,60,302,207,0,0,0,28,1169,60,0,50,10,6,23,4743,1,0,1802557,24,0,39,9,89,81,0,0,0,8,432,9,0,1,3,887.8,-0.1,0,319068.1,5.2,0,8.4,0.4,16.8,15.5,0,0,0,1.3,84.6,0.5,0,0.470751153,0.573036009,0.602694272,0.372677996,0,0.816975422,0.716879359,0,0.542101049,0.692040547,0.635820407,0.897625893,0,0,0,0.539257463,0.856542854,0.669974493,0,0
44,0304437A,35,927,188182,3,0,27671527,273,38,432,44,2780,833,0,0,0,181,24237,91,11,50,10,7,161,36117,2,0,5595487,45,15,66,6,544,150,0,0,0,51,4749,21,0,0,3.9,2241.7,0.2,0,346181.5,3.1,2.4,3.7,-0.1,32.9,6.6,0,0,0,7.6,395.1,3.3,-1.6,0,0.101711387,0.150095306,0.391230398,0,0.171992729,0.434897989,0.600092329,0.325623152,0.465792362,0.136565458,0.112804269,0,0,0,0.419195955,0.161246547,0.546128231,2.236067977,0
45,03137CFD,24,130,28743,4,1747655,9925221,15,2,36,31,642,13,0,0,0,149,5311,7,9,50,7,5,30,5117,3,0,2354731,8,0,19,16,95,11,0,0,0,19,781,0,0,0.8,6.1,1918,-0.3,107474.5,1227995.2,2.1,0.1,5.5,4.7,31.2,2.3,0,0,0,12.2,330.7,0.4,0.8,0.372677996,0.485768106,0.858981694,0.152145155,1.445548566,1.654686633,1.27275212,1.369306394,1.372823755,1.370493277,0.800248387,1.816264454,0,0,0,1.258100125,0.902602793,1.392399192,1.940472133,0
46,031E8DEE,35,938,104466,8,1807929,44047151,182,25,130,21,1558,434,0,2,2,350,15354,44,18,50,6,7,115,14756,8,0,3624828,8,0,6,0,212,74,0,1,1,23,2406,0,0,0,-23.5,-413.2999999,0.2,-180792.9,-1751491.2,-4.899999999,-0.6,-4.8,-2.4,-8.099999998,2.1,0,0.2,0.2,-14.5,62.70000002,-4.1,-2.6,0,0.260185533,0.370897382,0.057335076,2.236067977,0.683981211,0.849632853,1.075411407,0.559446974,1.138550085,0.498757073,0.275136333,0,1.369306394,1.369306394,0.976879632,0.518419627,1.208692475,1.438858054,0
